anime_id,title,title_english,image_url,type,source,rating,score,premiered,studio,genre
16251,Shinkai no Kantai: Submarine 707,,https://myanimelist.cdn-dena.com/images/anime/6/43741.jpg,OVA,Manga,None,5.73,0,J.C.Staff/Toei Animation,"Action, Adventure, Military, Sci-Fi"
6777,Densha Kamo Shirenai,The Evening Traveling,https://myanimelist.cdn-dena.com/images/anime/11/15638.jpg,Music,Music,G - All Ages,5.62,0,0,Music
35594,Ylion to Callysia,,https://myanimelist.cdn-dena.com/images/anime/8/85786.jpg,Movie,Original,None,5.86,0,0,"Action, Fantasy"
36847,Nanatsu no Bitoku,The Seven Heavenly Virtues,https://myanimelist.cdn-dena.com/images/anime/9/89129.jpg,TV,Other,R+ - Mild Nudity,5.2,Winter 2018,Bridge,"Ecchi, Fantasy"
29765,Metropolis (2009),,https://myanimelist.cdn-dena.com/images/anime/12/71619.jpg,Movie,Unknown,G - All Ages,6.26,0,0,0
32561,Hai to Gensou no Grimgar Special,Grimgar: Ashes and Illusions Special,https://myanimelist.cdn-dena.com/images/anime/11/78160.jpg,Special,Light novel,PG-13 - Teens 13 or older,6.65,0,A-1 Pictures,Comedy
24275,Medamayaki no Kimi Itsu Tsubusu?,,https://myanimelist.cdn-dena.com/images/anime/9/62711.jpg,Special,Manga,G - All Ages,5.92,0,Fanworks,"Comedy, Seinen"
29363,Watashi no Ashinaga Ojisan Specials,,https://myanimelist.cdn-dena.com/images/anime/9/70611.jpg,Special,Unknown,G - All Ages,6.41,0,Nippon Animation,"Comedy, Romance, School, Shoujo, Slice of Life"
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,,https://myanimelist.cdn-dena.com/images/anime/9/22612.jpg,Movie,Original,PG - Children,5.96,0,0,"Adventure, Kids"
1811,Bounty Dog: Getsumen no Ibu,,https://myanimelist.cdn-dena.com/images/anime/10/27945.jpg,OVA,Original,R - 17+ (violence & profanity),5.63,0,Animate Film,"Action, Sci-Fi, Space"
5036,Hurricane Live! 2033,,https://myanimelist.cdn-dena.com/images/anime/5/24446.jpg,Special,Unknown,PG-13 - Teens 13 or older,6.73,0,0,Music
9690,Densetsu no Yuusha no Densetsu: Iris Report,The Legend of the Legendary Heroes: Iris Report,https://myanimelist.cdn-dena.com/images/anime/11/26850.jpg,Special,Unknown,R - 17+ (violence & profanity),6.6,0,Zexcs,"Action, Adventure, Fantasy, Magic, Shounen"
9721,Aisai Nikki,,https://myanimelist.cdn-dena.com/images/anime/11/36725.jpg,OVA,Visual novel,Rx - Hentai,6.54,0,G-Lam,Hentai
812,Chikyuu Shoujo Arjuna,Arjuna,https://myanimelist.cdn-dena.com/images/anime/4/57253.jpg,TV,Original,PG-13 - Teens 13 or older,6.95,Winter 2001,Satelight,"Adventure, Drama, Magic, Sci-Fi"
19849,Peeping Life 5.0ch,,https://myanimelist.cdn-dena.com/images/anime/4/52931.jpg,OVA,Original,G - All Ages,5.51,0,0,"Comedy, Slice of Life"
7791,K-On!!,K-ON! Season 2,https://myanimelist.cdn-dena.com/images/anime/12/76121.jpg,TV,4-koma manga,PG-13 - Teens 13 or older,8.14,Spring 2010,Kyoto Animation,"Comedy, Music, School, Slice of Life"
747,Haru wo Daite Ita,Embracing Love,https://myanimelist.cdn-dena.com/images/anime/6/3718.jpg,OVA,Manga,R+ - Mild Nudity,6.93,0,Trinet Entertainment,"Drama, Romance, Yaoi"
11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Pokemon 4D: Pikachu's Ocean Adventure,https://myanimelist.cdn-dena.com/images/anime/4/30543.jpg,Movie,Game,PG - Children,7.13,0,OLM,"Adventure, Comedy, Fantasy, Kids"
8726,Soredemo Machi wa Mawatteiru,And Yet The Town Moves,https://myanimelist.cdn-dena.com/images/anime/9/25880.jpg,TV,Manga,PG-13 - Teens 13 or older,7.47,Fall 2010,Shaft,"Comedy, Slice of Life"
20229,Makkuro na Obentou,,https://myanimelist.cdn-dena.com/images/anime/12/53839.jpg,Movie,Unknown,G - All Ages,7.89,0,0,"Drama, Historical"
33155,Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,,https://myanimelist.cdn-dena.com/images/anime/7/88061.jpg,Special,Original,PG-13 - Teens 13 or older,6.24,0,0,"Action, School"
10869,Scan2Go,Scan2Go,https://myanimelist.cdn-dena.com/images/anime/3/30012.jpg,TV,Unknown,G - All Ages,6.23,Summer 2010,SynergySP,"Cars, Kids, Shounen, Space, Sports"
12589,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,,https://myanimelist.cdn-dena.com/images/anime/7/35279.jpg,Movie,Unknown,G - All Ages,6.14,0,0,"Adventure, Kids"
3981,Shokuzai no Kyoushitsu,Classroom of Atonement,https://myanimelist.cdn-dena.com/images/anime/6/7185.jpg,OVA,Unknown,Rx - Hentai,5.36,0,0,Hentai
15813,Majokko Shimai no Yoyo to Nene,Magical Sisters Yoyo & Nene,https://myanimelist.cdn-dena.com/images/anime/5/53567.jpg,Movie,Manga,G - All Ages,7.57,0,ufotable,"Fantasy, Magic"
36951,Yuu☆Yuu☆Hakusho Special,,https://myanimelist.cdn-dena.com/images/anime/1145/92229.jpg,Special,Manga,PG-13 - Teens 13 or older,0,0,Studio Pierrot,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen"
